round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
346	82.720848	19.489724	263.296400	76.007056
347	82.810704	19.529659	263.967040	76.008806
348	82.899904	19.569105	264.642640	76.010847
349	82.990176	19.608866	265.318080	76.012538
350	83.079328	19.648460	265.989040	76.014638
351	83.167072	19.688341	266.659840	76.016329
352	83.254992	19.727969	267.328000	76.017904
353	83.342448	19.767818	267.999280	76.019712
354	83.428272	19.807737	268.668960	76.021111
355	83.512800	19.847258	269.340720	76.022394
356	83.599520	19.886789	270.009120	76.024027
357	83.685568	19.926050	270.676320	76.025310
358	83.770000	19.966258	271.346160	76.027177
359	83.855424	20.005731	272.014240	76.028518
360	83.938400	20.045186	272.677440	76.029976
361	84.024080	20.084554	273.347280	76.031376
362	84.108304	20.124337	274.014000	76.032600
363	84.190864	20.163614	274.682640	76.033942
364	84.273600	20.202785	275.352320	76.035283
365	84.356656	20.241689	276.020960	76.036216
366	84.438944	20.281134	276.689200	76.037908
367	84.521312	20.320348	277.358480	76.039132
368	84.600928	20.359156	278.022720	76.040590
369	84.680912	20.398259	278.690400	76.041407
370	84.760144	20.437079	279.356480	76.042748
371	84.839920	20.476028	280.025120	76.043681
372	84.919952	20.515184	280.689600	76.044614
373	84.997232	20.553581	281.356560	76.045781
374	85.075888	20.592691	282.024080	76.046656
375	85.153952	20.631536	282.689600	76.047472
376	85.230496	20.670181	283.355920	76.048813
377	85.308704	20.708847	284.018720	76.049980
378	85.386464	20.747979	284.683760	76.051146
379	85.463216	20.786590	285.347920	76.052196
380	85.540384	20.825626	286.013360	76.052779
381	85.616288	20.864176	286.676560	76.053246
382	85.691248	20.902548	287.342720	76.054237
383	85.765584	20.941182	288.006640	76.054995
384	85.839792	20.980034	288.668400	76.055695
385	85.914160	21.018637	289.332400	76.056628
386	85.987632	21.057667	289.994160	76.057620
387	86.060800	21.096708	290.653280	76.058436
388	86.133872	21.135321	291.308800	76.059136
389	86.205888	21.173966	291.967200	76.059719
390	86.278096	21.212487	292.627120	76.060361
391	86.350784	21.250824	293.287680	76.060827
